,acronym,Phrases
0,EASWs,electron acoustic solitary waves (EASWs)
1,AACVD,aerosol assisted chemical vapor deposition (AACVD); aerosol-assisted chemical vapour deposition (AACVD)
2,BTD,brittle to ductile (BTD); brittle-to-ductile (BTD)
3,BTD,bounce-transit and drift (BTD)
4,BTD,belt-type die (BTD)
5,BTD,bounce-transit and drift resonance (BTD)
6,RPMF,re-polarizing magnetic field (RPMF)
7,Cls,conservation laws (Cls)
8,VVol,ventricular volume (VVol); Ventricular volume (VVol)
9,HPI,head position indication (HPI)
10,HEDM,high energy density material (HEDM); high energy density materials (HEDM)
11,TN,titanium nitrate (TN)
12,TN,tailored nonlinearity time series (TN)
13,TN,twisted-nematic (TN); twisted nematic (TN); Twisted nematic (TN)
14,TN,truncated Newton (TN)
15,TN,True Negative (TN)
16,TN,top site of a nitrogen atom (TN)
17,TN,thermonuclear (TN)
18,ERW,elephant random walk (ERW)
19,GNP,graphene nanoplatelets (GNP); graphene nanoplatelet (GNP)
20,He-TDDFT,helium time-dependent density functional theory (He-TDDFT)
21,PQDs,Power quality disturbances (PQDs)
22,PQDs,phosphorene quantum dots (PQDs)
23,CBMA,custom-built mask aligner (CBMA)
24,β-PVDF,β-polyvinylidene fluoride (β-PVDF)
25,Pt-C,platinum-carbon (Pt-C)
26,ISGP,Impedance spectroscopy genetic programming (ISGP); impedance spectroscopy genetic programming (ISGP)
27,ML/s,monolayer/s (ML/s); monolayers/s (ML/s)
28,SAMR,small-angle magnetization rotation (SAMR)
29,EI,excitonic insulator (EI)
30,EI,electron ionization (EI); Electron ionization (EI)
31,EI,ellipsoidal inclusion (EI)
32,EI,explosive immunization (EI)
33,EI,electrochemical impedance (EI)
34,EI,edge-illumination (EI); edge illumination (EI)
35,EI,energy internet (EI)
36,EI,elongation index (EI)
37,EI,explosive instability (EI)
38,EI,electron impact (EI)
39,Pr-TFA,praseodymium trifluoroacetates (Pr-TFA)
40,FROG,frequency-resolved optical gating interferometer (FROG)
41,FROG,frequency-resolved optical gating (FROG); Frequency Resolved Optical Gating (FROG); frequency-resolved-optical-gating (FROG); frequency-resolved optical grating (FROG)
42,THEMIS,Time History of Events and Macroscale Interactions during Substorms (THEMIS)
43,PDC,parametric down-conversion (PDC)
44,PDC,pulsed discharge cleaning (PDC)
45,AFOs,arises due to the geometry dependence of LMOs (AFOs)
46,ωt,ωt except one with sin^{2}(ωt)
47,NMSCs,neural multipotent stem cells (NMSCs)
48,RGO-ZnO,reduced graphene oxide-zinc oxide (RGO-ZnO)
49,TMM,transmission matrix method (TMM); transfer matrix method (TMM)
50,TMM,transfer-matrix method (TMM); Transfer Matrix Method (TMM); Transfer-matrix methods (TMM)
51,TMM,trimethylenemethane (TMM)
52,MnPc,manganese phthalocyanine (MnPc)
53,AppEnt,approximate entropy (AppEnt)
54,NML,No Man’s Land (NML)
55,MAPDL,Mechanical ANSYS Parametric Design Language (MAPDL)
56,Cro-LP,cross-linearly polarized (Cro-LP)
57,PGT,Princeton Gamma-Tech (PGT); Princeton Gamma Tech (PGT)
58,TW-SOAs,travelling-wave semiconductor optical amplifiers (TW-SOAs)
59,IEF,intrinsic error field (IEF)
60,SdHOs,Shubnikov-de Haas oscillations (SdHOs)
61,R-FE,resistance-ferroelectric (R-FE); resistor-ferroelectric (R-FE)
62,OTF-AI,on-the-fly ab initio (OTF-AI)
63,DCLS,Dalian Coherent Light Source (DCLS)
64,SPW,surface plasmon wave (SPW); surface-plasmon wave (SPW); surface plasma wave (SPW)
65,HOMO-LUMO,highest occupied molecular-orbital–lowest unoccupied molecular-orbital (HOMO-LUMO); highest occupied molecular orbital∕lowest unoccupied molecular orbital (HOMO-LUMO); highest occupied molecular orbital-lowest unoccupied molecular orbital (HOMO-LUMO)
66,PDGF,platelet-derived growth factor (PDGF)
67,DCF,dispersion compensating fiber (DCF); dispersion-compensating fiber (DCF)
68,DCF,direct correlation function (DCF)
69,DSPC,distearoylphosphatidylcholine (DSPC)
70,SMC,sliding mode control (SMC); sliding-mode control (SMC)
71,SMC,Schwinger multichannel (SMC); Schwinger multichannel method (SMC); Schwinger Multichannel (SMC)
72,SMC,Smart-Monte Carlo step (SMC); Smart Monte Carlo (SMC)
73,FG,fine-grained (FG); fine-grain (FG); fine grid (FG)
74,FG,fast growth (FG)
75,FG,function generator (FG)
76,FG,Frozen Gaussian (FG); Fixed Gaussian (FG)
77,FG,forming gas (FG); Forming gas (FG)
78,FG,front gate (FG)
79,FG,floating-gate (FG); floating gate (FG)
80,FG,Fordy–Gibbons (FG)
81,FYP,Five-Year Plan (FYP)
82,TDFA,thulium-doped fiber amplifier (TDFA)
83,VBG,volume Bragg grating (VBG)
84,PBADs,partial bond angle distributions (PBADs)
85,NMSE,normalized mean square error (NMSE); normalized mean squared error (NMSE)
86,SNeuPI,Space Neutral Pressure Instrument (SNeuPI)
